strain,blob_area_90th_medianDiff_all,blob_area_w_paused_50th_medianDiff_all,blob_area_w_paused_90th_medianDiff_all,blob_area_w_paused_IQR_medianDiff_all,d_blob_area_10th_medianDiff_all,d_blob_area_90th_medianDiff_all,d_blob_area_IQR_medianDiff_all,d_blob_area_w_paused_10th_medianDiff_all,d_blob_area_w_paused_90th_medianDiff_all,d_blob_area_w_paused_IQR_medianDiff_all
AB1,139700,110500,283850,149150,-1718.75,1875,1093.75,-6875,7343.75,5468.75
BRC20067,82150,72425,214200,77381.25,-1015.625,1093.75,546.875,-4843.75,4765.625,3125
CB4852,51450,21950,91600,79750,-625,625,312.5,-3437.5,3437.5,937.5
CB4854,89200,51550,118600,44987.5,-1093.75,1250,625,-3281.25,2968.75,2500
CB4856,40575,38625,165970,66800,-546.875,546.875,312.5,-4843.75,4921.875,3515.625
CB4932,138350,66950,221250,82450,-937.5,937.5,625,-5000,5625,3750
CX11254,27600,41150,94350,30800,-625,781.25,468.75,-3125,3203.125,2031.25
CX11262,2750,-5675,49650,-2250,312.5,-468.75,-156.25,2968.75,-2656.25,-4218.75
CX11264,45250,55600,106200,49500,-625,625,312.5,-4218.75,4375,3125
CX11271,18600,7200,79850,35637.5,-625,468.75,312.5,-3906.25,3750,3281.25
CX11276,51900,22250,156695,53987.5,-937.5,1093.75,625,-5468.75,5000,2812.5
CX11285,16200,31175,50350,25425,-312.5,312.5,156.25,-2812.5,2031.25,703.125
CX11292,92700,40050,253250,162100,-625,625,312.5,-4218.75,3750,3593.75
CX11307,22050,30500,108495,38062.5,-312.5,312.5,312.5,-2031.25,1718.75,1562.5
CX11314,73075,49212.5,192642.5,83575,-781.25,859.375,468.75,-4609.375,4765.625,3828.125
CX11315,36500,58800,139000,63200,-625,625,312.5,-7812.5,7968.75,5625
DL200,59050,63750,251565,176400,-625,625,312.5,-4687.5,4687.5,2968.75
DL226,89650,100050,262200,98650,-937.5,1250,937.5,-7187.5,7812.5,4843.75
DL238,57325,39300,165800,86425,-625,625,312.5,-5156.25,5234.375,1953.125
ECA246,38550,42300,95575,67925,-312.5,312.5,156.25,-1796.875,2031.25,1562.5
ECA248,186400,124625,308700,138375,-781.25,937.5,468.75,-3437.5,4843.75,4843.75
ECA250,39250,46850,301125,120512.5,-781.25,781.25,312.5,-5468.75,6406.25,3593.75
ECA251,83350,34750,196750,69350,-468.75,625,312.5,-3437.5,3750,2812.5
ECA252,63250,9000,107100,51600,-468.75,468.75,156.25,-1093.75,1093.75,625
ECA259,34250,52550,100275,1425,-625,703.125,468.75,-7109.375,6250,4453.125
ECA348,18550,54600,168100,99400,-468.75,468.75,312.5,-3593.75,3906.25,1718.75
ECA349,76350,74200,260200,98050,-781.25,781.25,625,-7343.75,7656.25,5156.25
ECA36,22900,51650,109400,50700,-625,781.25,312.5,-3484.375,2656.25,1406.25
ECA363,27550,7925,14700,14000,-312.5,312.5,156.25,312.5,-312.5,-312.5
ECA372,68025,34750,193125,56725,-937.5,859.375,546.875,-3359.375,3359.375,2890.625
ECA396,8800,-4550,38800,35087.5,0,0,0,468.75,-2078.125,-1875
ED3005,94750,32550,160550,53100,-1406.25,1562.5,781.25,-4375,4843.75,3281.25
ED3011,52950,68650,180350,75950,-937.5,937.5,625,-6875,7500,4843.75
ED3012,46250,60600,241650,132687.5,-781.25,625,625,-6406.25,7343.75,4531.25
ED3017,45500,24750,130900,54900,-937.5,781.25,468.75,-5468.75,4843.75,2968.75
ED3040,93575,51500,256800,147025,-1093.75,1015.625,390.625,-4062.5,4296.875,937.5
ED3046,214500,145400,270350,151125,-1875,2031.25,937.5,-7031.25,7812.5,4687.5
ED3048,46575,55950,211150,70150,-859.375,859.375,468.75,-6015.625,6328.125,4765.625
ED3049,7300,4400,128700,84800,-156.25,0,0,8906.25,-8750,-8906.25
ED3052,51895,18100,152050,40300,-781.25,937.5,312.5,-4687.5,3750,2187.5
ED3073,78000,70400,177300,97650,-781.25,781.25,625,-5781.25,5781.25,3593.75
ED3077,117100,100700,268670,164200,-1093.75,1093.75,625,-9062.5,9218.75,6406.25
EG4347,94050,44925,197450,90100,-1250,1250,625,-4843.75,5000,2812.5
EG4349,122850,91800,337050,110725,-1250,1250,625,-5468.75,5468.75,3906.25
EG4724,78300,63550,129550,50650,-937.5,937.5,625,-4375,4531.25,2812.5
EG4725,70350,43650,85217.5,41575,-546.875,625,312.5,-2265.625,2343.75,1640.625
EG4946,78800,59600,163250,116850,-781.25,937.5,312.5,-4218.75,4218.75,2812.5
GXW1,183550,122800,250850,158000,-1718.75,1718.75,1250,-6875,6718.75,4062.5
JT11398,156397.5,72875,305800,167912.5,-1250,1484.375,625,-5625,5859.375,3593.75
JU1088,82500,52900,172900,93275,-625,625,468.75,-6406.25,6406.25,3750
JU1172,32450,13800,102550,25250,-156.25,156.25,-156.25,-3125,2968.75,2187.5
JU1200,59100,60950,232050,83800,-781.25,781.25,312.5,-4843.75,5156.25,3125
JU1212,40950,13850,87750,66150,-156.25,312.5,156.25,-1875,2343.75,312.5
JU1213,107000,104150,251150,120900,-937.5,937.5,312.5,-5937.5,6875,4687.5
JU1242,79000,63050,186000,76500,-937.5,781.25,625,-4843.75,4687.5,4062.5
JU1246,61200,70550,260450,89475,-625,625,312.5,-5312.5,5781.25,3437.5
JU1395,77100,53550,169000,66487.5,-937.5,937.5,468.75,-5000,5312.5,3593.75
JU1400,35700,24500,110950,55500,-156.25,156.25,312.5,-2812.5,3125,1562.5
JU1409,22050,34400,95700,45325,-468.75,622.5962,312.5,-3593.75,4531.25,2187.5
JU1440,99500,28800,261450,140050,-937.5,781.25,312.5,-6093.75,6250,2812.5
JU1491,76600,68750,180850,66800,-781.25,781.25,312.5,-5625,5937.5,3906.25
JU1530,83150,46350,209840,108250,-468.75,625,312.5,-4687.5,5218.75,3906.25
JU1543,92000,102000,255250,175400,-781.25,781.25,312.5,-7203.125,6578.125,4218.75
JU1568,130800,57250,189850,102450,-1718.75,1875,937.5,-4687.5,5312.5,3125
JU1580,41200,38900,151500,74850,-312.5,312.5,0,-3281.25,3437.5,1718.75
JU1581,43100,10300,122100,17250,-781.25,937.5,625,-6406.25,6093.75,4531.25
JU1586,70300,26700,74500,57850,-625,625,468.75,-1562.5,1562.5,1250
JU1652,41125,55725,124950,66625,-781.25,937.5,781.25,-5156.25,5312.5,3750
JU1793,33300,43100,83675,48350,-390.625,390.625,156.25,-2968.75,2968.75,1328.125
JU1808,189800,131950,273680,181800,-2031.25,2031.25,1093.75,-10781.25,11093.75,8125
JU1896,77750,51200,166250,102750,-781.25,781.25,312.5,-4062.5,4062.5,2968.75
JU2001,35350,-6150,90530,34600,-312.5,312.5,0,-937.5,937.5,-312.5
JU2007,99900,66900,195850,81550,-937.5,937.5,312.5,-4843.75,5000,4062.5
JU2131,91050,32250,172610,93900,-937.5,1093.75,468.75,-4218.75,4687.5,3281.25
JU2141,36550,46300,98160,30950,-312.5,468.75,0,-3593.75,3281.25,2343.75
JU2234,52350,81950,208370,137150,-625,781.25,312.5,-4531.25,5000,3593.75
JU2464,125100,51750,189050,81950,-781.25,781.25,468.75,-3593.75,3593.75,2500
JU2466,93400,38350,191450,130350,-625,625,312.5,-3750,3750,1406.25
JU2513,51250,36150,196840,72075,-312.5,468.75,312.5,-4218.75,4375,2812.5
JU2519,92850,63400,120150,84400,-1093.75,1093.75,625,-4687.5,4687.5,3750
JU2522,52200,46650,86500,28075,-781.25,781.25,312.5,-2968.75,2812.5,1875
JU2526,99800,75950,186200,58800,-781.25,781.25,312.5,-4687.5,5406.25,3437.5
JU2534,55850,58950,219280,114200,-781.25,781.25,468.75,-6406.25,7031.25,4531.25
JU2565,50350,21750,213085,114550,-625,625,312.5,-3593.75,4218.75,2031.25
JU2566,42150,68450,136200,34250,-625,625,312.5,-5000,5625,3906.25
JU2578,148800,34000,295250,201650,-1406.25,1718.75,781.25,-6250,6718.75,2812.5
JU258,38725,48975,136875,70425,-468.75,468.75,156.25,-4140.625,4843.75,2343.75
JU2587,137850,70550,199950,70500,-937.5,937.5,625,-3750,3593.75,3125
JU2593,87500,86650,198400,90875,-1250,1250,781.25,-7343.75,8281.25,5937.5
JU2600,44750,52700,116650,25500,-468.75,468.75,312.5,-4531.25,5312.5,3750
JU2800,79550,98100,188750,97650,-1093.75,1093.75,625,-8125,8593.75,5468.75
JU2862,47250,88875,235750,99287.5,-781.25,781.25,468.75,-5156.25,6093.75,3750
JU2866,35850,66650,210900,99262.5,-468.75,625,312.5,-6875,6875,5312.5
JU2878,56025,29800,144305,54750,-546.875,546.875,312.5,-3828.125,3046.875,3125
JU2879,43600,55000,159585,119000,-781.25,781.25,625,-5312.5,5156.25,3593.75
JU2906,33150,21350,242000,157600,-156.25,156.25,0,-3750,4218.75,1250
JU310,109100,50500,141270,67350,-1093.75,1093.75,781.25,-4062.5,3750,2812.5
JU311,46550,54200,173250,91220,-546.875,546.875,312.5,-5156.25,3984.375,3671.875
JU3125,43300,63900,237600,79750,-625,781.25,468.75,-7343.75,7500,5625
JU3127,57550,20450,170100,77200,-781.25,781.25,312.5,-5625,6093.75,3437.5
JU3134,57250,83900,223000,144650,-625,625,625,-6250,6718.75,4531.25
JU3135,127900,116450,264655,141900,-1250,1250,625,-7812.5,8750,5156.25
JU3137,55400,46300,202500,85050,-625,781.25,312.5,-5000,5625,3125
JU3140,78100,107050,156700,74750,-468.75,312.5,0,-5468.75,5937.5,3906.25
JU323,58450,67050,135520,48950,-937.5,937.5,468.75,-4687.5,4687.5,3281.25
JU346,70800,25700,134250,55450,-781.25,781.25,625,-4062.5,4062.5,2500
JU360,51400,34450,95600,-2850,-937.5,781.25,468.75,-6406.25,5937.5,4218.75
JU367,68200,45800,167550,121900,-625,625,312.5,-2031.25,2343.75,468.75
JU393,121345,29050,178750,92700,-1093.75,1250,625,-5156.25,5625,2656.25
JU394,88150,29250,138600,53837.5,-1093.75,1250,312.5,-2500,2656.25,1562.5
JU397,38000,51950,109700,37450,-781.25,781.25,312.5,-5468.75,5781.25,4062.5
JU406,73900,36600,139650,46850,-781.25,781.25,312.5,-4843.75,5000,3125
JU440,9900,57200,87035,19500,-156.25,156.25,0,-4390.625,4531.25,3242.1875
JU561,89550,45000,272000,108900,-1250,1406.25,781.25,-5468.75,5312.5,4375
JU642,33450,45500,106850,33500,-468.75,468.75,312.5,-4093.75,3593.75,2812.5
JU751,121550,80650,135550,67875,-1406.25,1562.5,937.5,-5312.5,5000,4375
JU774,35700,64650,163900,69100,-625,625,312.5,-6562.5,6250,5000
JU775,70675,57500,129665,45550,-781.25,781.25,468.75,-4359.375,4765.625,3125
JU778,86175,19850,205345,57700,-1484.375,1484.375,937.5,-6484.375,6328.125,4531.25
JU782,81850,70600,148650,65850,-937.5,937.5,625,-4187.5,4531.25,3125
JU792,50500,56050,218050,69825,-781.25,781.25,468.75,-5312.5,5734.375,3906.25
JU830,123450,35300,351550,212600,-1562.5,1875,625,-5312.5,5156.25,3750
JU847,38850,38550,202200,54950,-781.25,781.25,625,-3906.25,4375,2812.5
KR314,83200,43450,115350,77850,-1093.75,1093.75,312.5,-3281.25,3750,2343.75
LKC34,95750,82175,216930,77350,-937.5,937.5,625,-4687.5,3906.25,3750
LSJ1,33950,34100,163340,39700,-468.75,468.75,312.5,-3906.25,4062.5,2812.5
MY1,80050,39450,116300,68500,-781.25,625,312.5,-3906.25,4218.75,2812.5
MY10,43550,-1050,221700,150800,0,0,-312.5,3593.75,-3125,-2968.75
MY16,78050,67750,175350,88500,-1093.75,1093.75,625,-6718.75,6718.75,4375
MY18,41250,48200,107700,55150,-468.75,312.5,312.5,-4375,5312.5,3437.5
MY2212,41300,7650,163350,68600,-156.25,281.25,0,-4843.75,4843.75,3125
MY23,51250,66000,273480,104875,-937.5,1093.75,625,-8203.125,9062.5,5468.75
MY2453,132050,104800,255950,112300,-781.25,937.5,468.75,-6718.75,7343.75,5000
MY2530,100400,87800,149800,83900,-937.5,937.5,468.75,-5625,6250,4062.5
MY2535,50900,28450,192350,90850,-468.75,468.75,156.25,-4375,4531.25,2656.25
MY2573,51650,53200,159050,75050,-781.25,625,312.5,-3750,4375,2656.25
MY2693,44950,34950,264350,114700,-625,625,312.5,-6406.25,6406.25,4375
MY2741,109450,46500,216700,131900,-781.25,937.5,312.5,-5937.5,6406.25,3593.75
MY679,41950,40450,183550,59150,-625,625,625,-2968.75,3281.25,1875
MY920,24850,-4000,217600,47450,-156.25,312.5,0,-1875,1875,781.25
N2,50775,5675,85800,46775,-468.75,468.75,390.625,-1093.75,937.5,625
NIC1,144300,49250,170390,86000,-1093.75,1093.75,625,-2812.5,2812.5,1875
NIC1107,22950,30375,145250,79450,-156.25,0,312.5,5312.5,-4218.75,-1562.5
NIC166,67100,63200,179300,66737.5,-781.25,937.5,312.5,-4531.25,4531.25,3281.25
NIC195,45150,60150,99220,42737.5,-1093.75,1093.75,625,-5937.5,6718.75,4843.75
NIC199,37300,39800,74800,8775,-468.75,625,312.5,-4062.5,4218.75,3281.25
NIC2,52000,23200,143050,66650,-937.5,937.5,468.75,-4843.75,5468.75,3125
NIC207,44500,51950,81200,39837.5,-937.5,937.5,625,-3437.5,3281.25,2812.5
NIC231,95900,62300,180150,94650,-781.25,937.5,625,-3281.25,3437.5,2656.25
NIC236,67400,50150,181000,91750,-781.25,937.5,468.75,-4218.75,5000,3281.25
NIC242,61850,55175,132215,55550,-781.25,781.25,468.75,-3906.25,3593.75,3906.25
NIC251,109800,43650,219400,73500,-1562.5,1718.75,937.5,-4375,4531.25,3125
NIC252,49900,62475,160142.5,82650,-1093.75,1093.75,546.875,-7343.75,7343.75,5234.375
NIC255,42850,22500,198800,79559.375,-625,625,625,-3437.5,3437.5,1250
NIC256,79550,14800,148742.5,47925,-859.375,859.375,390.625,-2187.5,2343.75,1093.75
NIC258,48300,6150,67200,8100,-312.5,468.75,312.5,-937.5,781.25,478.1626
NIC259,52850,8150,85400,64700,-937.5,937.5,625,-3125,2968.75,1875
NIC260,65400,62600,197565,93200,-781.25,937.5,625,-5781.25,5937.5,4218.75
NIC261,53805,61825,68095,-10037.5,-156.25,-156.25,0,-1406.25,1562.5,781.25
NIC262,21600,30750,70650,21950,-312.5,156.25,312.5,-1875,468.75,1093.75
NIC265,91600,15900,156160,90875,-781.25,937.5,312.5,-3281.25,3750,2187.5
NIC266,37450,38400,77320,51500,-625,625,312.5,-4843.75,5156.25,2968.75
NIC267,96250,56675,193050,125225,-781.25,859.375,312.5,-5468.75,5859.375,3046.875
NIC268,58150,29800,218450,96000,-1093.75,937.5,781.25,-6718.75,7343.75,5312.5
NIC269,13250,55550,-1525,39350,-625,625,468.75,-4843.75,5000,3281.25
NIC271,69200,61200,167100,55200,-312.5,312.5,-156.25,-3906.25,3875,2343.75
NIC272,80400,71350,244200,135962.5,-781.25,781.25,468.75,-7343.75,7187.5,5468.75
NIC274,43050,61100,103680,25300,-625,625,312.5,-3281.25,3125,2656.25
NIC275,69825,81425,194180,100200,-703.125,937.5,312.5,-6640.625,6484.375,5234.375
NIC276,99200,72700,229325,131662.5,-625,781.25,312.5,-7343.75,7812.5,5781.25
NIC277,56725,51925,76825,60537.5,-859.375,859.375,468.75,-3984.375,3828.125,3515.625
NIC3,49700,44400,105650,64650,-625,781.25,468.75,-2968.75,3125,1875
NIC513,49825,38100,159450,69900,-625,625,312.5,-2187.5,1875,1875
NIC514,38950,49300,226000,123050,-468.75,625,312.5,-6250,6093.75,4062.5
NIC522,82800,53762.5,189457.5,59625,-937.5,1015.625,468.75,-5007.8125,5390.625,3984.375
NIC523,42400,29800,108850,27800,-468.75,468.75,312.5,-3593.75,3906.25,3125
PB303,46350,75900,263440,136200,-1093.75,937.5,625,-7031.25,7062.5,5000
PS2025,4650,43700,52400,46200,-156.25,156.25,0,-3437.5,3437.5,2187.5
PX179,33650,46450,163675,86350,-312.5,156.25,312.5,-5468.75,5781.25,3593.75
QG2075,29212.5,17525,109950,52950,-312.5,156.25,-156.25,-1328.125,1328.125,468.75
QG536,57850,27550,232600,73800,-625,781.25,312.5,-2812.5,2968.75,781.25
QG556,21050,50550,144570,100800,-312.5,312.5,312.5,-5781.25,5781.25,3906.25
QG557,5575,41350,59825,22025,-468.75,468.75,312.5,-1093.75,546.875,312.5
QW947,41150,13850,118050,61675,-312.5,468.75,156.25,-3125,3046.875,1640.625
QX1212,89550,90600,152100,72200,-937.5,937.5,625,-4843.75,4687.5,3593.75
QX1233,81150,71600,170595,68750,-937.5,1093.75,625,-4687.5,5136.7188,4062.5
QX1791,24900,4750,101900,36875,-468.75,468.75,156.25,-2046.875,2343.75,1562.5
QX1792,99350,72850,222385,113812.5,-1250,1250,937.5,-5312.5,5781.25,3906.25
QX1793,89800,95350,247700,84800,-468.75,468.75,312.5,-5156.25,5781.25,4062.5
QX1794,52750,57300,114690,76700,-781.25,781.25,312.5,-4531.25,4843.75,2031.25
RC301,90140,78100,189925,72075,-937.5,937.5,625,-6562.5,6406.25,5000
WN2001,84650,52000,248600,133950,-937.5,937.5,625,-1718.75,2031.25,468.75
WN2002,62850,63400,187950,81800,-937.5,1093.75,312.5,-3750,4062.5,2031.25
WN2033,86100,30450,177150,81787.5,-1093.75,1250,781.25,-4375,5156.25,4062.5
XZ1513,33875,61550,202250,67800,-781.25,625,468.75,-7500,8125,4843.75
XZ1514,13300,42500,101550,51562.5,-156.25,0,156.25,-3906.25,4218.75,2343.75
XZ1516,45450,46400,162900,87500,-312.5,312.5,0,-3750,3906.25,2187.5
