strain,blob_box_width_90th_medianDiff_all,blob_box_width_IQR_medianDiff_all,blob_box_width_w_forward_IQR_medianDiff_all,blob_box_width_w_paused_10th_medianDiff_all,blob_box_width_w_paused_50th_medianDiff_all,blob_box_width_w_paused_90th_medianDiff_all,blob_box_width_w_paused_IQR_medianDiff_all,d_blob_box_width_10th_medianDiff_all,d_blob_box_width_90th_medianDiff_all,d_blob_box_width_IQR_medianDiff_all,d_blob_box_width_w_forward_10th_medianDiff_all,d_blob_box_width_w_forward_IQR_medianDiff_all,d_blob_box_width_w_paused_10th_medianDiff_all,d_blob_box_width_w_paused_90th_medianDiff_all,d_blob_box_width_w_paused_IQR_medianDiff_all,d_width_head_base_w_backward_50th_medianDiff_all,d_width_head_base_w_backward_90th_medianDiff_all
JU2906,54.0818,8.7429,1.902,-7.5858,156.6297,411.6346,271.9306,-2.7853,4.9851,3.2042,-2.6342,3.5685,-23.1852,21.7107,6.9955,-0.98229,-1.153
JU310,193.8732,31.6525,1.2521,39.1321,140.1561,289.9501,150.2472,-6.3826,7.5233,4.2875,-6.1966,3.8867,-18.3668,21.3465,15.3861,-0.17538,0.36598
JU311,137.5166,19.4124,7.9579,22.0266,166.0582,396.9521,225.8528,-12.9099,18.3695,10.1813,-8.1631,6.4451,-40.975,45.2959,25.0201,-0.55024,-3.5135
JU3125,75.5306,16.7279,6.9502,50.141,218.6627,495.5041,284.8917,-12.7076,16.8657,9.7898,-7.1784,5.1105,-63.7152,66.2045,39.1967,-0.048113,-0.94604
JU3127,90.5882,15.7728,3.4501,7.2969,128.0417,222.006,203.1803,-6.3844,9.9978,7.7302,-3.8651,5.5529,-37.0187,32.9287,21.5123,-0.51986,-1.8192
JU3134,124.4697,28.0294,3.056,34.9214,219.0618,418.411,239.6053,-10.8968,10.9965,6.792,-6.8052,4.5543,-35.3887,37.3661,21.1182,-0.9882,-3.1006
JU3135,220.1156,46.2202,7.7694,50.2879,229.4678,283.4006,164.5493,-6.9819,4.5443,6.3897,-3.2747,5.6147,-31.7419,38.4488,24.0915,-0.42718,-2.0747
JU3137,147.3573,26.2572,8.4648,29.4606,188.6153,359.5071,230.6947,-6.3074,6.556,5.273,-4.1981,2.977,-31.0281,23.3168,21.1167,-0.80857,-3.2465
JU3140,198.5527,26.1966,5.1872,37.6496,184.7336,273.9275,173.0003,-9.1335,11.9774,9.1533,-7.9867,9.998,-29.123,31.0883,18.2817,-0.13013,-4.5713
JU323,150.0953,34.1048,7.4911,49.9253,178.911,300.6764,202.2111,-9.427,11.9552,6.3813,-6.4486,4.3006,-33.143,34.7602,20.5074,-0.42071,-2.8889
JU346,182.401,45.0685,8.8885,21.4334,135.574,298.1555,173.2156,-8.6873,10.6441,5.9557,-5.1871,3.2863,-21.0741,25.9632,15.3241,-0.066739,-5.2203
JU360,113.7994,22.1523,9.7778,45.0585,171.1568,247.4482,143.2304,-10.8833,12.8661,7.3845,-6.2149,5.0566,-47.4833,38.7255,28.3019,-1.216,-5.7024
JU367,206.7238,36.5552,8.2538,28.028,117.5416,244.6667,115.5548,-12.9442,14.1773,9.0426,-8.6921,6.5899,-16.0798,15.1144,5.42,-0.28252,-6.4864
JU393,238.0945,61.7968,8.4522,14.0422,127.276,250.4613,165.9934,-4.3296,1.5262,2.0402,-2.671,0.92275,-16.9605,20.5034,12.4832,-0.489,-2.9057
JU394,213.6365,57.0954,4.2147,25.6067,119.3606,244.4872,208.6662,-4.8143,4.2225,3.1591,-3.1032,1.7434,-14.1259,21.8795,11.2026,-0.35721,-3.1161
JU397,80.7778,13.4076,5.3856,21.7234,141.3123,250.7982,150.798,-4.6865,6.9984,3.5474,-2.1113,2.0062,-37.772,42.6018,25.1737,-0.79147,-3.2485
JU406,178.0627,32.5472,2.1695,20.7997,158.6505,341.343,208.7365,-5.21,7.8855,3.4601,-3.9052,2.712,-34.6778,35.5211,21.5035,-0.37377,-4.6144
JU440,55.4883,14.1439,9.4058,61.216,170.837,266.5804,139.1003,-8.6356,11.7783,6.4945,-6.9699,5.2954,-35.4161,37.7214,23.6606,-0.46266,-4.2168
JU561,201.7989,39.9193,6.702,38.9013,162.9644,284.8119,195.3647,-13.5339,13.9603,8.5373,-8.8585,5.9609,-25.7401,14.1242,17.1813,-0.40153,-1.3029
JU642,59.8407,20.0697,8.3175,30.2342,162.7656,311.0206,205.4777,-8.554,11.417,7.1362,-6.1903,6.3575,-34.4926,47.1033,23.0589,-0.71875,-3.5406
JU751,207.5352,45.0738,11.084,25.8308,115.1158,286.1975,185.4165,7.4934,-8.1347,-6.2157,8.5215,-6.3358,-9.326,15.4022,7.7927,0.16283,-3.9279
JU774,82.6042,23.4564,13.5267,43.5462,172.7755,395.0275,214.9411,-7.7951,11.1578,5.3167,-3.7561,2.9267,-46.4823,49.982,25.2456,-0.34996,-3.4459
JU775,183.0516,33.18,5.4622,21.3709,141.1152,291.1928,184.9646,-7.8422,8.8025,5.677,-6.8431,4.1085,-22.0506,24.0744,14.4815,-0.4126,-7.4536
JU778,221.4762,39.0098,10.0468,45.6384,187.6131,456.083,235.2083,-7.1639,9.3735,6.3543,-3.4017,2.3996,-28.3152,33.3717,16.0201,-0.58931,-3.2656
JU782,154.2142,37.0344,2.3556,50.2459,147.9057,383.3263,162.7028,-7.058,8.8717,6.1249,-3.7089,3.2331,-28.4103,33.5213,17.2092,-0.3857,-3.0762
JU792,120.0332,26.6599,5.8518,33.2782,161.9218,301.3512,153.9346,-11.4433,14.1742,10.4852,-8.859,7.4494,-29.6077,33.5674,19.0063,-0.30758,-2.5399
JU830,298.4537,66.4851,5.0195,-15.7821,173.249,457.2601,358.1937,-7.316,6.5253,7.3009,-5.0896,5.4091,-26.3242,26.4938,14.8249,-0.6737,-4.0103
JU847,120.9081,21.4263,4.4954,35.9921,152.1062,319.5442,187.2284,-5.6683,7.1361,4.4166,-3.9086,2.9277,-28.4432,30.6791,16.4478,-0.35683,-2.3072
KR314,198.7764,65.1235,5.8294,24.5639,123.9625,287.9662,166.1661,-10.3056,11.5541,6.1785,-6.7488,5.4476,-16.9207,17.3936,7.2798,-0.15665,-1.8749
LKC34,247.3312,48.8163,4.005,46.7189,181.4928,263.9271,224.6409,-5.8075,7.2733,5.4081,-4.1828,3.3104,-21.8039,27.173,14.4765,-0.5995,-2.7588
LSJ1,73.1095,16.4499,4.6095,47.0975,102.3472,374.5657,195.3982,-3.9001,6.8631,3.8913,-2.8205,2.758,-28.231,30.308,16.8637,0.0072658,-0.51398
MY1,163.4762,36.6171,1.1034,26.0198,108.2523,324.6523,171.505,-11.3053,14.4746,8.9756,-8.5757,6.5472,-24.4892,23.0108,11.6238,-0.41133,-3.3099
MY10,91.6378,3.2206,5.0982,29.8919,61.5455,375.5533,271.9287,-3.116,1.5189,1.6145,-0.33669,1.0943,-17.8053,21.5166,14.4617,-0.78477,0.39198
MY16,190.1811,38.4767,4.3425,37.1539,172.8786,279.9406,198.5003,-8.4863,8.0049,4.2497,-4.9061,2.9024,-35.3621,38.7297,25.2246,-0.26898,-0.31122
MY18,70.1854,17.8036,3.8944,16.4291,101.2802,156.9463,160.5745,-5.0054,5.1587,4.646,-2.9649,4.3626,2.4252,4.3623,17.0098,-0.52312,-3.0072
MY2212,80.8878,20.9125,3.2105,31.6154,133.8421,235.1403,211.9878,-6.8567,8.5395,5.604,-6.7798,4.397,-12.5885,9.9279,7.1085,-1.2364,-8.4052
MY23,143.0379,29.8196,8.5213,24.431,227.4711,449.4117,253.5437,-11.5412,13.2588,7.2017,-6.8987,4.6542,-49.9481,51.2907,31.7091,-0.32495,-4.3606
MY2453,217.6796,39.6517,6.6897,47.3659,232.0993,441.2508,241.7834,-9.1853,10.5724,5.8076,-3.5596,2.201,-32.3795,36.1093,21.0699,-0.45357,-4.6044
MY2530,164.8072,36.6149,1.9826,58.1318,159.209,257.7679,137.3684,-4.099,3.5274,3.7292,0.27122,1.3508,-29.9272,30.2639,17.6785,-0.36086,-2.0732
MY2535,113.3729,13.5417,3.0396,23.006,143.8686,295.8209,184.0019,-4.3253,8.1056,4.2712,-1.7401,1.7847,-27.5061,26.6861,15.7748,-0.77626,-2.6239
MY2573,101.9896,24.3205,3.8925,28.6256,129.6463,360.2993,194.0103,-9.8003,14.1248,6.7199,-9.2731,7.6022,-15.6794,18.6593,9.5365,-0.5013,-2.6397
MY2693,91.7206,20.0597,9.027,23.9717,174.5677,363.0647,294.9601,-7.1317,10.1508,5.6618,-6.0939,5.5271,-34.9437,35.3349,21.8766,-0.37921,-2.6527
MY2741,190.8257,29.2764,3.0626,-5.6308,129.7229,303.2541,261.3414,-10.4716,13.097,9.0384,-6.0529,5.4722,-43.36,45.9438,28.3082,-0.56248,-2.8537
MY679,55.1512,13.8739,4.9059,4.6663,78.4929,244.2018,176.2401,-9.8005,11.8159,6.3223,-5.0988,3.5551,-19.6678,21.2693,11.5139,-0.46712,-0.83955
MY920,28.5085,4.4733,-3.0516,-4.2778,55.385,292.6071,249.7741,-3.5603,8.191,2.978,-3.304,1.2774,-13.7465,9.561,8.0573,-0.81462,-1.2089
N2,125.1047,27.3874,2.1859,8.3024,39.6454,294.2508,105.3272,-3.5513,4.6776,3.1396,-0.84491,1.7637,-6.8512,8.3508,4.9444,-0.031981,-0.22224
NIC1,190.7926,48.4234,2.6158,27.17,133.2999,229.051,144.5444,-4.9715,4.9809,3.4012,-4.0896,4.0338,-19.5508,21.6328,11.9937,-0.51768,-5.0522
NIC1107,125.9377,25.0907,4.1307,10.7472,159.6837,347.9613,216.4961,-6.5585,8.1108,3.5302,-2.8213,1.9431,-20.6497,22.0734,5.0661,-0.4195,-3.7438
NIC166,169.2683,29.508,6.869,34.5142,156.9119,400.6683,214.7222,-10.5167,12.1119,6.8311,-8.1536,5.9339,-30.7297,33.0285,20.9591,-0.28776,-5.73
NIC195,102.5376,28.3674,10.7655,56.4783,163.8147,204.676,84.5117,-5.8808,7.0118,5.0544,-5.1848,4.4459,-39.881,48.4759,30.3133,-0.7185,-1.0869
NIC199,70.5678,12.9579,2.8697,33.9364,105.2279,200.3698,120.6349,-8.119,11.0939,5.9718,-5.1614,2.5096,-39.2155,38.3974,24.6543,-0.45313,-2.8264
NIC2,159.5182,29.4168,2.5249,39.8622,35.0363,192.3409,163.7026,-10.7926,11.9866,6.1585,-5.2878,3.1604,-28.9827,28.2965,16.1671,-0.71899,-3.8995
NIC207,72.3701,13.0927,6.8708,23.5846,64.5284,257.4052,183.7801,-7.0233,8.7122,5.9952,-5.6429,4.6049,-22.6331,25.7657,14.1258,0.018728,-1.8408
NIC231,151.7915,32.8433,4.1763,4.352,111.03,334.3671,229.5207,-6.5171,6.2553,3.2242,-3.5361,1.8018,-28.2941,29.8399,19.3984,-0.72577,0.89198
NIC236,196.9276,29.8229,3.2427,62.9072,195.8989,318.2841,221.8621,-8.3564,10.175,6.8808,-4.3582,3.5443,-33.6316,37.7009,23.9011,-0.59062,-2.2201
NIC242,142.8351,43.0437,3.7653,29.9556,129.2111,343.622,193.2236,-8.9117,10.4414,3.7824,-6.6819,4.622,-35.3406,43.3099,25.7512,-0.36503,-2.8442
NIC251,184.303,36.794,3.1856,19.4727,95.5757,214.6745,135.5599,-0.32116,-2.6868,0.31289,2.4907,-0.35615,-16.577,18.8003,8.3752,-0.43664,-1.9938
NIC252,139.2919,26.0104,2.857,56.5761,182.6149,309.8972,157.1013,-9.8732,10.184,7.0172,-2.4452,4.0369,-44.9477,47.8261,29.2529,-0.24962,-1.4095
NIC255,107.8311,23.698,12.2756,32.1826,45.2408,128.4414,95.7073,-2.4448,1.764,2.2197,-3.674,1.7024,4.0663,-5.1448,-5.4258,-0.62829,-1.4133
NIC256,168.0811,37.3397,5.5563,-7.7527,67.4766,199.5261,125.0919,-5.7252,5.0742,3.1071,-5.0995,4.0296,-15.4539,11.4022,4.7817,-0.70801,-2.0221
NIC258,69.5848,17.1604,4.1869,5.5465,17.8777,244.8206,89.2591,-2.1155,0.85781,1.2472,2.3382,-1.3635,-5.1582,4.7647,3.5307,-0.097859,-0.55311
NIC259,103.8661,16.7726,0.59626,44.3572,68.5645,160.664,71.7766,-6.0657,6.6789,3.7876,-3.629,2.8649,-15.5708,12.9169,9.6585,-0.16527,-0.93921
NIC260,123.5857,34.6198,6.9305,42.5176,167.4953,408.9184,197.5178,-11.7736,15.7101,8.3868,-5.6837,3.9178,-36.9074,43.2526,25.7717,-0.21827,-1.0126
NIC261,129.3662,28.704,9.7079,35.7575,58.9216,189.5824,131.3526,-5.3383,4.7048,2.2074,-6.5127,3.4134,-10.0357,12.8619,14.8592,-0.46651,-5.9477
NIC262,32.9622,6.5241,1.5158,-7.0692,47.348,273.6421,143.7591,1.6844,-3.8824,-0.64856,1.5507,-1.2745,-19.3112,10.8274,15.0958,-0.48096,-2.1741
NIC265,193.1774,50.0997,2.3024,29.6591,127.3784,295.6364,203.5912,-6.1294,5.8669,5.958,-5.1337,4.5575,-25.8515,26.743,16.7873,-0.54942,-4.6623
NIC266,66.3907,17.0593,5.089,5.279,72.6734,300.3104,171.5157,-8.9798,11.9389,7.1452,-6.7168,4.7969,-29.2085,31.1317,18.9747,-0.25401,-4.3792
NIC267,246.4504,41.2783,6.1217,-5.5596,149.831,274.9729,216.3642,-3.0631,1.8341,1.7708,-3.3325,1.5025,-23.718,25.8483,14.1862,-0.79117,-2.0372
NIC268,104.3026,17.3923,0.32923,35.4797,147.6113,221.2674,128.8174,-8.3428,9.0994,7.5271,-4.5313,4.9194,-32.4549,25.1296,19.7319,-0.13882,0.78493
NIC269,63.1162,18.5556,11.7307,26.5276,135.8201,196.7077,182.1087,-5.7468,6.24,2.4481,-2.3569,1.337,-44.9601,47.6496,29.5286,-0.067413,-0.65469
NIC271,173.7788,38.058,8.8606,59.745,182.8194,355.5469,219.4389,-6.8206,7.665,5.302,-5.9373,4.5892,-22.8904,34.647,22.3372,-0.3247,-7.9574
NIC272,165.6271,35.8313,3.5117,48.8752,182.1795,384.3061,217.7179,-3.7203,-3.4004,-1.5324,-1.8579,-0.38542,-27.5401,25.007,14.0615,-0.48158,-3.7517
NIC274,94.0276,21.5793,8.9005,37.0466,121.554,385.192,188.7687,-15.7447,19.3834,11.6,-9.9289,6.7762,-36.7513,37.7331,20.4077,-0.37985,-2.4084
NIC275,136.1371,17.8721,3.1856,-13.0449,160.226,284.3515,200.2549,-8.1201,9.4755,5.9135,-5.2434,3.7678,-33.2037,35.493,19.433,-0.45394,-3.1453
NIC276,235.0758,36.11,5.0016,50.3528,220.3079,307.4219,223.7547,-10.6096,12.2934,10.2496,-5.3716,6.2249,-45.2484,35.5586,26.0767,-0.77929,-4.6018
NIC277,159.0016,26.0672,8.8661,55.8782,142.3666,113.4519,97.5484,-9.7721,11.1624,7.8679,-4.2591,4.2382,-30.6038,30.7276,21.3819,-0.71614,-4.7756
NIC3,99.7649,26.5608,5.6831,28.5198,76.989,302.6877,172.1458,-3.6991,3.0787,2.7386,-2.0877,3.3085,-14.1973,16.4177,8.3505,-0.31235,-4.0481
NIC513,129.63,23.8447,6.7052,17.1377,150.9914,198.3391,160.4442,-7.5502,6.3514,4.6002,-5.2843,3.9584,-7.6531,18.4239,9.5822,-0.44574,-1.6219
NIC514,63.1049,10.4346,-0.79592,50.8999,130.7768,285.4409,202.1725,-6.6846,7.0651,4.7253,-4.7677,3.7739,-35.8161,35.9725,23.2947,-0.30162,-3.3892
NIC522,207.4906,46.9672,3.4375,57.0535,163.9077,284.7136,155.8392,-6.201,5.9317,4.3834,-3.2426,2.4436,-25.7254,27.0727,18.5133,-0.67893,-4.186
NIC523,109.9855,24.6921,2.9299,35.1709,148.4448,249.2605,128.0127,-4.105,6.6843,3.6749,-2.1368,2.0493,-30.1715,32.4585,20.6015,-0.25046,-2.9256
PB303,142.0218,22.2226,6.6629,60.198,177.4297,412.1986,234.4559,-11.5574,14.3488,7.4112,-7.456,5.0071,-51.4654,50.9393,32.0294,-0.38022,-0.49646
PS2025,27.2565,12.0097,6.1619,6.7808,91.0072,271.2861,165.4879,-5.4321,7.6251,4.9565,-4.9033,3.2204,-32.7692,31.3159,19.7181,0.010365,-7.1878
PX179,80.3363,16.1168,3.3176,12.4469,163.4901,259.8154,269.8564,-7.4722,9.7263,6.2609,-6.5031,4.8413,-30.6033,36.7938,24.9584,-0.56632,-2.9802
QG2075,118.27,20.2471,3.5723,7.9371,112.5701,146.6394,120.4072,-0.42899,0.0095177,0.4439,1.3117,-0.41787,-4.8076,3.3461,3.4459,-0.29116,-1.6802
QG536,159.9869,24.0044,5.4497,14.5384,120.9451,318.797,178.6536,-4.3995,2.3549,0.64091,0.56237,-2.8494,-26.6588,28.3637,5.9935,-0.51184,-2.5791
QG556,43.6704,7.3566,3.3966,28.1329,172.482,287.4431,198.9653,-4.0887,3.344,4.1308,-2.3883,2.8926,-38.5633,44.6938,24.238,-0.58865,-2.4392
QG557,44.9688,10.3054,7.6028,5.049,59.6995,152.2151,106.7904,-9.014,10.7058,5.8598,-9.8813,7.2624,-8.1009,12.521,3.8325,-0.67339,-1.4436
QW947,123.8464,29.9915,5.0924,5.2057,99.6838,300.3358,225.5506,-7.504,8.8789,4.6194,-4.5525,1.9954,-23.3049,26.1512,12.0494,-0.65665,-2.212
QX1212,172.9351,35.556,5.6485,39.9301,152.2129,345.5937,160.1914,-6.7167,9.6546,5.736,-5.2592,4.0753,-23.1549,28.5764,15.9963,-0.23615,-1.3632
QX1233,191.1326,36.2756,6.5113,52.0942,192.4037,305.2294,152.5442,-7.2936,6.8137,7.3336,-4.8514,3.0726,-33.9347,37.8905,24.8169,-0.52752,1.0622
QX1791,54.2721,9.1083,2.2596,13.9563,70.3796,168.5872,136.9952,-4.243,3.9267,2.2263,-2.0902,1.5664,-16.8531,13.9334,7.9244,-0.48082,-2.933
QX1792,201.6387,41.1081,6.4673,69.7263,153.575,352.9893,191.558,-4.908,3.7984,3.162,-3.9649,3.3194,-21.7342,18.9422,10.9594,-0.47488,-2.1376
QX1793,156.8288,29.3044,4.2525,84.2756,197.4939,317.4201,179.3406,-8.1728,8.7736,4.6083,-6.2912,3.6488,-26.8398,29.2576,19.2837,-0.26238,-5.2889
QX1794,120.8536,24.746,5.4916,16.0519,157.9312,316.5691,190.7997,-9.3784,10.7993,9.3011,-8.07,5.658,-33.389,31.7504,19.5549,-0.25285,-4.5498
RC301,194.9484,33.1909,8.0065,18.5779,117.1442,264.9547,159.6549,-5.6401,4.4223,3.475,-3.2892,1.477,-26.2857,24.3586,18.2304,-0.3997,-1.3215
WN2001,193.2534,32.956,3.8865,56.8918,147.7484,270.3113,204.1842,-3.8217,4.0975,5.4638,-2.3356,4.4269,-13.4176,5.1219,3.5857,-0.37896,-1.2019
WN2002,172.8303,36.356,8.3961,19.7169,138.147,371.9348,238.8898,-9.9548,12.6084,5.1879,-6.7542,4.4518,-19.5914,21.6488,10.0198,-0.31667,-5.6759
WN2033,189.8123,35.1422,5.1285,26.6285,95.5412,150.8734,127.9138,-6.372,6.7506,3.8985,-4.0809,4.2881,-12.8699,9.9086,5.2782,-0.11132,-0.31451
XZ1513,64.9833,1.2331,-0.033157,39.1733,201.1027,428.4845,242.0997,-14.658,21.3379,14.364,-8.7362,8.0732,-57.6179,66.4007,35.7575,-0.24154,-1.9336
XZ1514,38.3691,9.0286,5.4759,21.696,86.152,219.2592,128.1714,1.3553,3.1248,1.8032,1.1766,-0.45344,-23.28,25.4895,13.2925,0.17937,0.25829
XZ1516,44.141,18.3823,6.9037,26.8534,116.5013,313.7131,188.432,-1.7629,0.48755,1.2073,0.0096436,0.11304,-14.7427,21.8847,9.5712,-0.20761,-2.8963
