strain,d_speed_head_base_w_backward_10th_medianDiff_all,d_speed_head_base_w_backward_50th_medianDiff_all,d_speed_head_base_w_backward_90th_medianDiff_all,d_speed_head_base_w_backward_IQR_medianDiff_all,d_speed_head_tip_w_backward_10th_medianDiff_all,d_speed_head_tip_w_backward_90th_medianDiff_all,d_speed_head_tip_w_backward_IQR_medianDiff_all,d_speed_hips_w_backward_50th_medianDiff_all,d_speed_hips_w_backward_IQR_medianDiff_all,d_speed_midbody_w_backward_10th_medianDiff_all,d_speed_midbody_w_backward_50th_medianDiff_all,d_speed_midbody_w_backward_IQR_medianDiff_all,d_speed_neck_w_backward_10th_medianDiff_all,d_speed_neck_w_backward_50th_medianDiff_all,d_speed_neck_w_backward_90th_medianDiff_all,d_speed_neck_w_backward_IQR_medianDiff_all,d_speed_tail_base_w_backward_50th_medianDiff_all,d_speed_tail_tip_w_backward_50th_medianDiff_all,d_speed_w_backward_50th_medianDiff_all,d_speed_w_backward_IQR_medianDiff_all,speed_head_base_norm_10th_medianDiff_all,speed_head_tip_10th_medianDiff_all,speed_head_tip_norm_10th_medianDiff_all,speed_hips_norm_10th_medianDiff_all,speed_midbody_norm_10th_medianDiff_all,speed_neck_norm_10th_medianDiff_all,speed_norm_10th_medianDiff_all,speed_tail_base_10th_medianDiff_all,speed_tail_base_norm_10th_medianDiff_all,speed_tail_tip_10th_medianDiff_all,speed_tail_tip_norm_10th_medianDiff_all
AB1,30.3735,-6.5364,-62.0396,-46.2877,56.4369,-208.8032,-71.3342,-7.69,-31.4336,22.9696,-6.8473,-30.0096,28.7302,-5.8849,-49.885,-39.0257,-7.4753,-6.0493,-5.3993,-26.7822,-0.011199,-12.3355,-0.013366,-0.012515,-0.010664,-0.0099137,-0.0090673,-12.0795,-0.013644,-13.911,-0.015539
BRC20067,11.9353,-8.5994,-3.8771,-7.3528,25.7834,-71.1676,-53.8222,-7.669,6.9442,-1.5949,-8.143,3.9015,4.9487,-8.1446,-1.7694,-1.4097,-7.4203,-6.497,-8.4383,5.6447,-0.045084,-41.0615,-0.051843,-0.046588,-0.044136,-0.046178,-0.039987,-41.5166,-0.049727,-47.7702,-0.05669
CB4852,29.9532,-10.2083,-45.3881,-40.8324,36.9217,-133.1551,-88.4681,-10.9915,5.1198,1.0916,-9.7337,-7.2926,17.7307,-10.1415,-39.4349,-25.828,-10.6555,-8.1482,-9.1417,-10.6595,-0.020191,-19.4319,-0.021968,-0.025612,-0.021717,-0.022173,-0.019551,-22.7567,-0.027746,-26.3114,-0.031712
CB4854,58.7648,-16.0112,-44.6888,-71.0744,74.2629,-132.6589,-101.5607,-20.9548,-59.271,51.6651,-20.5346,-55.1366,52.6516,-16.6669,-38.3888,-68.8107,-19.8325,-20.4509,-18.7374,-60.5961,-0.034051,-28.3352,-0.033305,-0.035591,-0.034511,-0.036083,-0.03205,-31.6986,-0.036513,-35.4842,-0.040812
CB4856,82.9805,-12.5846,-86.967,-88.6115,87.1696,-266.3272,-100.1601,-14.7858,-64.0992,65.4312,-13.6903,-67.3438,76.4182,-10.9474,-74.5382,-81.0088,-12.9365,-11.7002,-13.2392,-73.7444,-0.058011,-73.0724,-0.091499,-0.044568,-0.04122,-0.048385,-0.037913,-39.0023,-0.047862,-45.6015,-0.05592
CB4932,19.8892,-8.3117,-7.9657,-32.3853,23.9724,-60.4839,-70.3947,-7.1334,-7.7206,11.9482,-8.8511,-19.1956,15.5663,-8.7076,-6.7915,-25.9749,-7.5335,-6.1797,-7.7014,-20.0255,-0.040627,-33.7476,-0.038971,-0.043727,-0.040253,-0.041493,-0.038166,-39.5109,-0.047217,-46.6071,-0.055832
CX11254,35.5987,-7.5778,-1.1998,-26.7698,40.502,-28.1801,-56.9712,-8.9075,-19.2855,20.797,-7.5675,-15.8413,25.6918,-5.9367,-4.8395,-25.5499,-10.1411,-8.6384,-7.7101,-19.1664,-0.0034615,-8.2889,0.0052056,-0.0032658,-0.0044206,-0.0042497,-0.0035257,-11.5223,-0.0033264,-17.8236,-0.013699
CX11262,77.2304,-15.589,-133.4066,-90.7175,89.6721,-368.9619,-97.7774,-16.6623,-97.3557,75.8496,-16.5932,-68.1671,70.796,-15.5846,-119.1638,-78.4022,-16.5847,-16.4383,-15.604,-69.5203,-0.067244,-92.9995,-0.10906,-0.045152,-0.043969,-0.054482,-0.041138,-39.7118,-0.047751,-44.5043,-0.053713
CX11264,11.2112,0.64022,-17.93,-9.0649,47.6178,-94.2513,-53.938,-0.040359,-4.8148,-3.3061,0.16225,8.8598,0.16138,-1.3329,-15.0309,2.2859,0.89635,2.4754,-0.5835,12.2697,-0.031891,-37.9165,-0.054803,-0.03108,-0.028196,-0.031001,-0.025054,-23.4152,-0.033589,-26.2077,-0.03435
CX11271,144.7248,-18.9091,-152.4991,-151.343,150.0172,-247.4482,-188.9646,-16.5765,-95.388,107.5482,-16.4918,-110.4508,130.4779,-17.9102,-142.443,-139.0856,-17.3658,-15.4917,-16.2145,-112.6752,-0.1071,-79.1922,-0.10741,-0.10643,-0.098801,-0.10745,-0.090967,-83.4384,-0.1115,-86.8689,-0.11572
CX11276,43.9731,-14.0094,-28.2997,-54.2794,76.6572,-207.1705,-119.1587,-15.7186,-50.0815,49.0889,-15.2254,-38.0826,43.3021,-13.5216,-20.3036,-39.434,-15.682,-14.0489,-12.4096,-37.4749,-0.029468,-31.5412,-0.035799,-0.031812,-0.030827,-0.032808,-0.029223,-29.0194,-0.034571,-31.7901,-0.039551
CX11285,174.9794,-13.4797,-164.2481,-146.366,190.6577,-347.6094,-119.5188,-16.776,-130.2883,132.9147,-14.9579,-123.3504,146.7929,-12.9413,-154.4705,-142.1579,-12.4866,-11.8944,-14.6521,-122.1095,-0.05515,-79.351,-0.10288,-0.044821,-0.040562,-0.046501,-0.037279,-36.2587,-0.048921,-41.7892,-0.056785
CX11292,93.0461,-14.0259,-91.421,-104.6424,94.7152,-266.9442,-130.4456,-20.3446,-87.9642,80.1877,-16.0734,-84.5315,83.8974,-15.0315,-90.6832,-92.611,-18.8087,-17.9833,-15.6035,-86.8594,-0.018292,-23.8708,-0.02596,-0.019923,-0.017025,-0.016851,-0.016143,-20.1268,-0.022152,-22.5268,-0.025483
CX11307,42.591,-11.9214,4.8322,-33.361,61.7255,-93.2904,-100.7159,-12.1278,5.0219,26.4768,-9.7516,-1.0281,31.0309,-10.2498,6.7228,-12.492,-12.8321,-9.9323,-8.9416,-0.32298,-0.026204,-43.0248,-0.058159,-0.023843,-0.020336,-0.022654,-0.018281,-19.4093,-0.026548,-23.3816,-0.031832
CX11314,66.3141,-7.2322,-84.3201,-109.2129,38.6337,-140.4302,-116.4264,-13.0896,-51.0194,33.7803,-9.6559,-71.5446,56.1898,-6.7606,-80.5679,-94.2899,-10.9509,-8.0573,-9.732,-70.1347,-0.03177,-33.9162,-0.048305,-0.033864,-0.030751,-0.031596,-0.028551,-28.4473,-0.036656,-31.2207,-0.040877
CX11315,27.59,-8.407,-4.2978,-65.437,72.864,-183.0622,-131.6935,-5.4081,-9.437,22.3435,-7.9183,-18.1943,10.5441,-7.1928,11.4287,-30.4731,-5.8447,-5.6829,-6.8059,-20.6551,-0.07681,-51.3219,-0.072934,-0.082897,-0.075868,-0.079064,-0.069196,-62.4137,-0.087839,-67.2341,-0.094275
DL200,48.9457,-7.6724,-59.4272,-40.9121,62.1328,-127.9323,-46.263,-7.0205,-22.9909,36.6703,-8.2002,-27.7195,43.823,-8.4278,-53.7586,-37.898,-6.8836,-4.5422,-8.449,-26.1703,-0.024464,-37.6416,-0.047596,-0.023514,-0.020258,-0.021733,-0.018852,-22.1727,-0.025456,-23.4396,-0.029225
DL226,37.342,-0.90653,-44.1356,-41.8358,41.7152,-82.6298,-58.2405,-3.3563,-14.0635,20.7115,-3.9189,-15.637,29.8003,-2.8295,-31.8267,-29.4822,-2.5403,1.1428,-5.1537,-16.199,-0.020915,-42.228,-0.049136,-0.014011,-0.012472,-0.014582,-0.011563,-13.7913,-0.015573,-17.6784,-0.020032
DL238,0.7646,-6.1284,-7.6227,-1.8291,9.2569,-66.0255,-42.33,-3.2674,33.7333,-11.8643,-4.8531,19.2997,-10.5938,-5.1766,1.5646,3.2201,-3.8891,-1.9599,-4.4071,18.2715,-0.055411,-63.0003,-0.07191,-0.04316,-0.041938,-0.050795,-0.037359,-41.2366,-0.046313,-46.4968,-0.051935
ECA246,25.4194,-5.0496,-32.4166,-20.1412,48.791,-103.7782,-35.215,-7.7673,-6.3548,7.0318,-7.3278,-12.6579,13.4921,-6.3912,-22.1123,-13.1341,-6.8802,-5.7774,-6.8573,-6.2571,-0.082106,-41.8548,-0.075705,-0.084513,-0.074371,-0.080979,-0.068382,-48.9852,-0.088548,-51.7311,-0.094065
ECA248,73.0989,-16.8475,-65.3533,-81.1565,113.765,-154.9183,-159.0556,-19.6595,-54.117,68.8988,-18.1636,-53.9011,62.9924,-17.1567,-51.8495,-68.8625,-19.208,-19.8717,-15.6775,-52.4944,0.0428,43.3902,0.054979,0.033208,0.033888,0.04111,0.031613,25.5518,0.032638,20.9663,0.027837
ECA250,64.8837,-12.7955,-73.0184,-64.3644,57.2126,-132.8672,-69.3366,-14.0898,-29.8106,47.3095,-12.9867,-39.1048,55.6925,-10.6604,-62.1991,-50.4855,-13.3446,-14.2771,-12.0281,-40.3127,-0.02625,-39.6443,-0.035934,-0.024073,-0.025327,-0.026851,-0.023526,-27.3213,-0.023521,-28.8201,-0.024473
ECA251,116.4148,-22.2201,-93.5175,-119.5165,127.0822,-191.7589,-173.4064,-23.0452,-46.1765,68.4793,-21.5918,-66.6857,92.6145,-21.8441,-81.8169,-88.0769,-22.3147,-20.7192,-19.8515,-65.3949,-0.0066921,-10.7242,-0.0056861,-0.010572,-0.0095019,-0.0085462,-0.0086548,-12.0529,-0.0103,-12.3987,-0.010308
ECA252,13.1626,0.36523,-18.5405,-11.2086,8.9883,-37.5672,-13.9421,-1.9249,-4.0551,9.9984,-1.5725,-5.8482,16.1944,-0.10792,-18.5174,-11.8501,-2.2807,-2.8898,-1.8295,-5.7142,-0.0018913,-1.4163,-0.00077105,-0.0049137,-0.0053868,-0.0038374,-0.0035081,-4.3243,-0.0059584,-8.4701,-0.0077718
ECA259,98.2838,-17.716,-74.9039,-91.2018,121.7449,-183.5008,-129.4008,-13.5955,-33.9096,70.3849,-13.9818,-48.2346,92.0746,-14.0437,-65.3236,-71.0343,-13.3545,-10.2752,-13.3897,-54.9827,-0.071103,-93.601,-0.11171,-0.069377,-0.06339,-0.066722,-0.057785,-64.8168,-0.076826,-77.0627,-0.091384
ECA348,-76.5141,5.5962,113.5215,71.2365,-86.7399,193.5175,54.3166,8.2042,100.7594,-89.9201,8.7987,83.7789,-81.3466,5.0562,123.0222,79.2159,8.4753,10.9308,5.6821,81.1217,0.013721,25.0869,0.026246,0.011053,0.010496,0.011398,0.0095741,11.768,0.011133,10.992,0.0093487
ECA349,7.2766,-6.9442,28.8447,1.4508,3.4556,-33.8019,-47.6274,-6.4614,37.2893,-7.0856,-5.8831,23.0943,3.3078,-6.3027,18.9147,8.5932,-7.1688,-4.3513,-5.8249,22.9606,0.006469,2.5496,0.017619,0.0039796,0.0043813,0.006339,0.0024817,-3.1259,0.0035269,-4.1604,0.00015311
ECA36,222.0508,-18.1255,-261.9494,-128.8676,236.0303,-410.4727,-178.4552,-17.1074,-160.8342,178.2977,-21.5111,-137.3374,200.2491,-22.305,-252.5756,-134.4243,-19.3383,-16.0918,-22.8393,-143.7566,-0.26019,-246.2732,-0.31452,-0.24014,-0.22292,-0.24297,-0.20595,-197.4345,-0.25224,-209.6414,-0.26796
ECA363,85.1193,-9.1925,-187.1363,-57.0254,92.3209,-365.3785,-86.7652,-21.5323,-97.8888,76.998,-12.633,-76.448,83.9538,-11.1903,-170.2704,-55.4832,-14.6957,-24.9767,-8.8811,-67.3551,-0.0868,-99.0966,-0.11873,-0.05916,-0.058763,-0.071387,-0.054368,-50.5787,-0.061141,-54.0866,-0.065783
ECA372,0.43613,-6.908,-10.7132,-14.8002,5.6784,-112.0451,-68.8783,-4.782,17.3046,-6.4152,-5.9256,9.4686,-3.8328,-7.2714,-4.6361,-12.6222,-3.5784,-2.7834,-5.8542,0.83022,-0.0359,-33.9548,-0.039132,-0.034556,-0.033134,-0.036137,-0.030816,-37.9541,-0.036115,-42.5912,-0.040751
ECA396,161.3746,-23.0439,-177.4447,-123.6908,183.8647,-430.933,-132.4102,-25.0337,-128.6629,107.5617,-22.6043,-111.8489,149.2075,-20.5722,-163.6593,-128.4056,-19.1919,-20.8438,-26.271,-100.2865,-0.074076,-88.9795,-0.11806,-0.044691,-0.04381,-0.055769,-0.040428,-34.7069,-0.047297,-38.1704,-0.051919
ED3005,4.8309,-8.9707,1.4398,-28.751,21.7551,-17.0686,-58.4609,-11.476,-3.6967,-6.2338,-11.4823,-14.8091,-2.0669,-10.8392,1.9605,-20.0331,-11.9897,-10.7799,-11.0858,-17.2271,-0.024052,-22.2764,-0.02601,-0.02479,-0.023538,-0.024984,-0.020873,-23.003,-0.027218,-28.1211,-0.03317
ED3011,30.6516,-17.2745,-34.0743,-35.6009,47.4902,-135.0507,-83.2767,-14.0687,-30.7823,31.9751,-14.7976,-26.726,30.2521,-17.1455,-40.1105,-28.7188,-14.7846,-11.3918,-14.7816,-28.6663,-0.028689,-40.8561,-0.043168,-0.028284,-0.025103,-0.026089,-0.022417,-26.3055,-0.032372,-29.4816,-0.039576
ED3012,101.9581,-13.3635,-109.5991,-109.6349,127.9616,-209.5759,-124.9597,-19.9077,-81.3012,81.0617,-15.4123,-87.6714,91.0102,-15.8261,-106.8596,-101.2557,-17.2094,-16.446,-14.947,-86.8094,-0.083945,-73.0035,-0.091761,-0.085997,-0.081133,-0.084257,-0.075082,-71.1851,-0.090059,-74.4798,-0.093463
ED3017,121.4085,-26.6482,-63.0551,-113.9036,121.6732,-240.6693,-205.2196,-19.446,-81.0114,78.9837,-20.97,-79.8201,102.1117,-23.048,-63.0748,-94.9192,-21.3815,-18.5197,-20.1569,-73.2972,-0.053938,-67.5983,-0.084069,-0.048335,-0.044454,-0.048606,-0.041321,-43.8449,-0.05327,-53.2323,-0.069174
ED3040,76.8875,-13.6901,-73.1271,-99.3509,82.6214,-187.4645,-116.7769,-13.9309,-87.384,51.6689,-12.8762,-81.0001,66.5488,-12.943,-69.5595,-96.4807,-12.6327,-11.2352,-13.7795,-83.4057,-0.067104,-65.2722,-0.069887,-0.070976,-0.067286,-0.068732,-0.062921,-67.2382,-0.072284,-71.3678,-0.07591
ED3046,4.941,-2.9938,-35.9406,-23.5607,-3.4614,-90.442,-10.2864,-3.574,-26.0672,5.9084,-3.6549,-20.6403,10.647,-2.757,-31.8495,-23.4329,-4.3682,-6.2964,-3.2659,-19.5804,0.0037268,-8.5911,0.0075317,-0.0023105,-0.00083491,0.0025563,0.0002027,-9.465,-0.0035556,-11.9356,-0.0064723
ED3048,36.4083,-10.7749,-59.024,-79.545,92.0302,-228.0395,-143.0371,-13.0569,-47.205,26.5903,-11.3068,-48.4722,32.369,-11.6428,-39.9841,-58.5243,-13.0123,-11.9209,-10.781,-54.101,-0.081337,-76.9361,-0.10052,-0.082779,-0.076552,-0.080591,-0.070702,-68.8599,-0.088861,-75.829,-0.098537
ED3049,96.8276,-8.5015,-93.257,-106.6964,113.0675,-242.6619,-159.9159,-12.0484,-79.2279,85.4548,-8.6246,-90.5391,92.3437,-8.3957,-81.5685,-95.4948,-12.0035,-11.6216,-8.6874,-89.4821,-0.014797,-23.202,-0.021568,-0.020507,-0.017964,-0.016318,-0.015983,-21.2012,-0.022153,-24.3098,-0.025233
ED3052,68.1,-13.1055,-74.0992,-73.4912,93.5726,-168.3862,-107.4743,-24.1657,-73.7947,70.2547,-18.725,-74.4254,60.765,-12.1985,-64.7949,-66.9143,-25.223,-22.992,-18.9356,-77.1377,-0.047964,-52.2476,-0.05847,-0.053017,-0.049899,-0.050031,-0.04678,-49.65,-0.055643,-54.1677,-0.060795
ED3073,31.6187,-8.275,-26.0097,-25.648,42.0555,-41.1591,-65.0294,-8.7353,-12.8591,22.9231,-8.0435,-14.5071,30.5103,-8.4265,-23.904,-17.8506,-10.0381,-9.8931,-8.5305,-10.5924,-0.0054622,1.9648,-0.0014568,-0.0028557,-0.0040683,-0.0051104,-0.0034985,-0.80379,-0.0033748,-1.3377,-0.0042978
ED3077,68.7002,-12.3257,-118.137,-91.2165,73.3736,-159.2535,-84.4764,-15.9834,-55.5682,59.5209,-13.0154,-58.7434,63.5332,-12.5776,-112.7498,-68.7838,-11.5892,-7.2879,-13.6181,-57.9594,-0.080716,-88.3723,-0.12105,-0.075897,-0.070978,-0.076674,-0.066612,-59.5193,-0.082558,-67.5923,-0.093816
EG4347,54.271,-12.3221,-44.2473,-75.468,59.0477,-161.0651,-114.48,-15.8986,-50.0588,34.5432,-14.1532,-50.7284,44.9783,-13.0616,-33.4507,-64.777,-15.2815,-15.8574,-13.5253,-56.9398,-0.04474,-43.1273,-0.046109,-0.048568,-0.045324,-0.046545,-0.042701,-45.3659,-0.051106,-53.1325,-0.05884
EG4349,-3.9331,-6.6108,15.4749,-5.4901,18.9645,1.4543,-36.0478,-7.2244,16.0699,-11.6007,-6.7884,5.7262,-10.1955,-6.9585,21.5341,0.55948,-6.3242,-3.9107,-6.3921,2.1004,-0.00068286,0.74096,-0.00042567,-0.0097679,-0.005111,-0.0020273,-0.0042646,-9.5571,-0.011717,-12.3345,-0.012204
EG4724,51.9898,-2.6656,-67.9328,-57.9724,41.5734,-135.0113,-62.1798,-0.11255,-43.6478,42.2705,-2.0598,-51.0725,46.2909,-2.3026,-64.6156,-53.3079,-0.07855,0.14281,-0.9302,-49.0155,-0.019729,-18.0141,-0.027801,-0.023043,-0.019654,-0.020113,-0.018021,-18.3213,-0.025648,-21.9285,-0.029993
EG4725,42.5073,-5.9261,-57.4038,-59.393,47.0713,-138.3396,-75.6982,-6.9201,-27.2051,31.1505,-7.3042,-38.3983,32.8949,-6.1985,-50.7277,-49.4485,-7.2067,-5.6732,-6.6773,-41.8724,-0.01074,-7.6212,-0.015057,-0.011294,-0.0097874,-0.011047,-0.0091671,-8.819,-0.013051,-11.0157,-0.015468
EG4946,16.0883,-2.8017,-14.2225,-49.0889,-10.2992,-107.4478,-72.0577,-8.4917,4.1992,-2.9388,-5.1787,-16.3361,5.221,-4.1269,-10.9273,-32.1133,-8.5804,-6.7652,-5.0318,-16.5316,-0.030934,-45.5413,-0.050671,-0.035385,-0.032326,-0.03167,-0.030359,-34.5058,-0.039072,-39.1678,-0.043572
GXW1,82.5775,-15.966,-57.0316,-88.0738,64.3195,-98.5824,-106.8765,-13.0708,-41.9733,58.5835,-14.8562,-55.1155,71.8919,-15.958,-52.3291,-74.0668,-12.4249,-9.9861,-14.8292,-61.0391,-0.028936,-32.9002,-0.036144,-0.024533,-0.024169,-0.028763,-0.022725,-19.3629,-0.02568,-26.0813,-0.034052
JT11398,83.82,-14.3667,-99.7043,-101.8775,90.274,-117.342,-138.105,-17.4342,-46.1775,54.2227,-15.2325,-61.1031,74.5021,-13.3945,-95.6902,-87.9837,-17.405,-15.2943,-14.5525,-62.5331,-0.024272,-24.6723,-0.025478,-0.025745,-0.023279,-0.024436,-0.021636,-25.3383,-0.028011,-27.7253,-0.031948
JU1088,60.7211,-4.8518,-48.4094,-81.1814,65.0211,-179.5066,-107.4953,-5.2917,-52.1136,47.3454,-3.8464,-58.1992,54.0907,-4.1318,-43.4374,-69.2158,-7.0383,-5.233,-3.4736,-60.2468,-0.038947,-35.1688,-0.043289,-0.041356,-0.038895,-0.041594,-0.035521,-34.2549,-0.043815,-36.9226,-0.04588
JU1172,147.6729,-14.761,-139.9417,-154.461,168.6515,-328.7072,-169.4704,-20.1766,-102.728,107.7074,-20.0225,-117.5276,135.0971,-17.4566,-133.6821,-139.3832,-19.2843,-17.075,-18.9788,-112.4258,-0.046858,-69.3483,-0.088706,-0.044133,-0.039448,-0.041263,-0.03678,-39.2887,-0.048467,-46.2228,-0.057109
JU1200,31.0349,-10.8145,-30.1767,-44.3707,36.1189,-146.2878,-82.5857,-14.4572,-39.3806,28.5171,-13.0836,-33.6258,28.8832,-10.9345,-28.3432,-37.3735,-13.7698,-8.0986,-10.7845,-35.4401,-0.050598,-46.0597,-0.053962,-0.051845,-0.048442,-0.051224,-0.044813,-48.3195,-0.056232,-54.3504,-0.062757
JU1212,117.1743,-14.6701,-97.5506,-103.4199,106.2935,-198.8203,-113.2269,-20.0661,-73.6799,88.4355,-15.7136,-87.7491,109.1074,-14.2501,-97.36,-99.3604,-19.0007,-19.9431,-15.9291,-86.0364,-0.01146,-12.0635,-0.013353,-0.015238,-0.012005,-0.010905,-0.010686,-16.9688,-0.016846,-20.0988,-0.022263
JU1213,72.3535,-17.1221,-77.088,-76.2301,82.1078,-144.3394,-123.9844,-16.242,-39.3893,49.8058,-17.3701,-45.1904,59.6899,-17.7356,-72.9228,-62.6162,-15.2097,-12.669,-16.2749,-42.7496,-0.053089,-53.6073,-0.060437,-0.05845,-0.05448,-0.05588,-0.050546,-52.7652,-0.061801,-57.3976,-0.070921
JU1242,65.7201,-5.3587,-72.951,-83.6562,77.3082,-119.9766,-138.4125,-11.1465,-27.6071,31.0093,-8.7473,-42.5929,55.3438,-6.6299,-65.1187,-64.8649,-11.1081,-6.1283,-7.6299,-36.531,-0.030803,-43.9337,-0.052197,-0.032182,-0.027834,-0.028325,-0.025451,-29.6828,-0.035344,-35.0089,-0.041653
JU1246,137.4371,-12.0515,-130.2168,-127.5961,127.3517,-244.8623,-135.8488,-14.263,-101.9803,98.9252,-12.4583,-100.9389,118.8894,-11.3094,-113.3645,-121.9967,-14.5536,-11.8705,-12.5393,-98.7512,-0.024911,-34.6877,-0.039913,-0.026414,-0.024436,-0.025211,-0.022919,-22.4543,-0.028287,-26.327,-0.033285
JU1395,44.7705,-19.0711,-22.2795,-70.8162,45.3703,-67.4886,-96.6592,-12.9787,-20.8912,22.4458,-13.1375,-44.6074,38.7799,-15.6817,-16.5558,-58.0692,-11.3527,-10.0355,-12.7405,-42.3762,-0.0051532,-9.9111,-0.0042115,-0.0090597,-0.0074821,-0.0060904,-0.006498,-12.406,-0.0097495,-15.5529,-0.012907
JU1400,14.7699,-0.53544,-33.6605,-21.6983,25.0295,-83.6722,-53.2856,-3.3342,-8.2836,0.90041,-1.6126,-6.6391,12.8926,-1.6361,-28.703,-15.4355,-3.9887,-0.94423,-2.6574,-5.2659,0.003425,3.1937,0.0052197,-0.0016754,-0.00013532,0.0012997,-0.00038726,-2.0981,-0.002549,-3.1227,-0.0042953
JU1409,156.4834,-17.0128,-141.1416,-129.885,188.2187,-306.4322,-145.3672,-15.7138,-108.3579,128.4303,-13.9669,-116.0359,137.0008,-16.1507,-140.6672,-125.3491,-18.625,-13.0704,-14.5174,-115.615,-0.076923,-80.4835,-0.10105,-0.076377,-0.070703,-0.075621,-0.066425,-64.125,-0.080638,-73.1292,-0.087094
JU1440,6.083,-3.8602,-18.4152,-24.1673,12.1332,-93.0396,-80.1599,-4.4786,9.9574,-3.8741,-4.4685,8.6518,-1.9493,-4.6756,-20.0937,-9.3257,-3.7952,-1.6904,-4.5675,11.2891,-0.0094311,-15.9232,-0.017411,-0.008496,-0.0081433,-0.0090476,-0.0071772,-8.4996,-0.0099308,-9.6185,-0.012436
JU1491,10.5515,-7.3836,4.2723,-32.5733,28.1379,-38.7495,-65.9067,-7.6568,10.134,7.4601,-6.5307,-8.4053,7.8843,-6.0855,10.183,-20.7498,-8.2358,-8.1981,-6.7596,-11.8371,-0.0042162,-4.9673,-0.0022337,-0.0048704,-0.0052222,-0.0055618,-0.0040467,-4.0655,-0.0043927,-2.7863,-0.0038465
JU1530,63.2146,-11.4192,-65.2849,-74.9914,66.8576,-115.0834,-106.4141,-13.1229,-20.0468,26.4497,-12.5181,-38.4785,57.4258,-11.018,-64.9027,-71.2132,-11.0463,-8.2193,-11.7185,-43.1923,-0.004883,-4.3589,-0.005734,-0.0098105,-0.0060865,-0.0059075,-0.0053536,-7.9318,-0.010325,-11.0208,-0.012112
